,SLVID,_id_$oid,FoodCat1ID,FoodCat1Name,FoodCat2ID,FoodCat2Name,FoodCat3ID,FoodCat3Name,Variation_id_$oid,Variation_ID,Variation_Organic,Variation_CO2,Variation_text_en,Variation_text_sv,Variation_text_no,Variation_text_dk,Variation_RegionName,Variation_RegionID,Variation_Source,Name_sv,Name_no,Name_en,Name_dk,Class,Variation_RegionName_dk,Variation_RegionName_no,Variation_RegionName_en,Variation_RegionName_sv,WeightedAverageCO2
1234,339.0,5b0083876fd2dcf4a031c3ac,5,Grönsaker. rotfrukter och svamp,133,Tomater. gurka och paprika,708,Gurka,,9.0,True,2.15,"Switzerland, Organic","Schweiz, Ekologisk","Sveits, Økologisk","Schweiz, Økologisk",Schweiz,65.0,RISE-1.5,Gurka,Agurk,Cucumber,Agurk,1.0,Schweiz,Sveits,Switzerland,Schweiz,1.05
1235,340.0,5b0083876fd2dcf4a031c368,5,Grönsaker. rotfrukter och svamp,134,Sallad och bladgrönsaker,710,Sallat. isbergs-,5b7bd6c84a40085c0920700f,0.0,True,0.26,"Other, Organic","Övrigt ursprung, Ekologisk","Annen opprinnelse, Økologisk","Anden oprindelse, Økologisk",Övrigt,-1.0,RISE-1.4,Isbergssallat,Isbergsalat,Iceberg lettuce,Icebergsalat,2.0,Anden oprindelse,Annen opprinnelse,Other,Övrigt ursprung,0.26
1236,340.0,5b0083876fd2dcf4a031c368,5,Grönsaker. rotfrukter och svamp,134,Sallad och bladgrönsaker,710,Sallat. isbergs-,5b7bd6c84a40085c09207011,2.0,False,0.15,"Scandinavia, Conventional","Sverige, Konventionell","Norge, Konvensjonell","Danmark, Konventionel",Sverige,5.0,RISE-1.5,Isbergssallat,Isbergsalat,Iceberg lettuce,Icebergsalat,2.0,Danmark,Norge,Scandinavia,Sverige,0.26
1237,340.0,5b0083876fd2dcf4a031c368,5,Grönsaker. rotfrukter och svamp,134,Sallad och bladgrönsaker,710,Sallat. isbergs-,5b7bd6c84a40085c09207012,3.0,False,0.28,"Central Europe, Conventional","Centraleuropa, Konventionell","Sentral-Europa, Konvensjonell","Centraleuropa, Konventionel",Centraleuropa,52.0,RISE-1.5,Isbergssallat,Isbergsalat,Iceberg lettuce,Icebergsalat,2.0,Centraleuropa,Sentral-Europa,Central Europe,Centraleuropa,0.26
1238,340.0,5b0083876fd2dcf4a031c368,5,Grönsaker. rotfrukter och svamp,134,Sallad och bladgrönsaker,710,Sallat. isbergs-,5b7bd6c84a40085c09207015,6.0,False,0.43,"Southern Europe, Conventional","Sydeuropa, Konventionell","Sør-Europa, Konvensjonell","Sydeuropa, Konventionel",Sydeuropa,23.0,RISE-1.5,Isbergssallat,Isbergsalat,Iceberg lettuce,Icebergsalat,2.0,Sydeuropa,Sør-Europa,Southern Europe,Sydeuropa,0.26
1239,342.0,5b0083876fd2dcf4a031c337,5,Grönsaker. rotfrukter och svamp,127,Grönsaker övriga,717,Kronärtskocka,5b7bd6c84a40085c09207016,0.0,True,0.44,"Other, Organic","Övrigt ursprung, Ekologisk","Annen opprinnelse, Økologisk","Anden oprindelse, Økologisk",Övrigt,-1.0,RISE-1.4,Kronärtskocka,Artisjokker,Artichoke,Artiskokker,1.0,Anden oprindelse,Annen opprinnelse,Other,Övrigt ursprung,0.44
1240,342.0,5b0083876fd2dcf4a031c337,5,Grönsaker. rotfrukter och svamp,127,Grönsaker övriga,717,Kronärtskocka,5b7bd6c84a40085c09207018,2.0,False,0.44,"Italy, Conventional","Italien, Konventionell","Italia, Konvensjonell","Italien, Konventionel",Italien,7.0,RISE-1.5,Kronärtskocka,Artisjokker,Artichoke,Artiskokker,1.0,Italien,Italia,Italy,Italien,0.44
1241,492.0,,5,"Grönsaker, rotfrukter och svamp",127,Grönsaker övriga,717,Kronärtskocka,,2.0,False,0.44,"Italy, Conventional","Italien, Konventionell","Italia, Konvensjonell","Italien, Konventionel",Italien,7.0,RISE-1.5,Kronärtskocka kokt,Artisjokk kokt,Artichoke cooked,Artiskok kogt,5.0,Italien,Italia,Italy,Italien,0.44
1242,343.0,5b0083876fd2dcf4a031c31e,5,Grönsaker. rotfrukter och svamp,129,Kål och broccoli,725,Kålrabbi,,3.0,False,0.09,"Scandinavia, Conventional","Sverige, Konventionell","Norge, Konvensjonell","Danmark, Konventionel",Sverige,5.0,RISE-1.5,Kålrabbi,Kålrot,Turnip cabbage,Turnips,2.0,Danmark,Norge,Scandinavia,Sverige,0.09
1243,343.0,5b0083876fd2dcf4a031c31e,5,Grönsaker. rotfrukter och svamp,129,Kål och broccoli,725,Kålrabbi,5b7bd6c84a40085c0920701a,1.0,True,0.09,"Other, Organic","Övrigt ursprung, Ekologisk","Annen opprinnelse, Økologisk","Anden oprindelse, Økologisk",Övrigt,-1.0,RISE-1.4,Kålrabbi,Kålrot,Turnip cabbage,Turnips,2.0,Anden oprindelse,Annen opprinnelse,Other,Övrigt ursprung,0.09
1244,344.0,5b0083886fd2dcf4a031c570,5,Grönsaker. rotfrukter och svamp,136,Lök,732,Lök. gul,5b7bd6c84a40085c0920701c,0.0,True,0.19,"Other, Organic","Övrigt ursprung, Ekologisk","Annen opprinnelse, Økologisk","Anden oprindelse, Økologisk",Övrigt,-1.0,RISE-1.4,Lök gul,Løk gul,Onion yellow,Løg gul,1.0,Anden oprindelse,Annen opprinnelse,Other,Övrigt ursprung,0.19
1245,344.0,5b0083886fd2dcf4a031c570,5,Grönsaker. rotfrukter och svamp,136,Lök,732,Lök. gul,5b7bd6c84a40085c0920701e,2.0,False,0.44,"Central Europe, Conventional","Centraleuropa, Konventionell","Sentral-Europa, Konvensjonell","Centraleuropa, Konventionel",Centraleuropa,52.0,RISE-1.5,Lök gul,Løk gul,Onion yellow,Løg gul,1.0,Centraleuropa,Sentral-Europa,Central Europe,Centraleuropa,0.19
1246,344.0,5b0083886fd2dcf4a031c570,5,Grönsaker. rotfrukter och svamp,136,Lök,732,Lök. gul,5b7bd6c84a40085c09207022,6.0,True,0.05,"Scandinavia, Organic","Sverige, Ekologisk","Norge, Økologisk","Danmark, Økologisk",Sverige,5.0,RISE-1.5,Lök gul,Løk gul,Onion yellow,Løg gul,1.0,Danmark,Norge,Scandinavia,Sverige,0.19
1247,344.0,5b0083886fd2dcf4a031c570,5,Grönsaker. rotfrukter och svamp,136,Lök,732,Lök. gul,5b7bd6c84a40085c09207023,7.0,False,0.05,"Scandinavia, Conventional","Sverige, Konventionell","Norge, Konvensjonell","Danmark, Konventionel",Sverige,5.0,RISE-1.5,Lök gul,Løk gul,Onion yellow,Løg gul,1.0,Danmark,Norge,Scandinavia,Sverige,0.19
1248,385.0,5b0083876fd2dcf4a031bbd5,5,Grönsaker. rotfrukter och svamp,136,Lök,732,Lök. gul,5b7bd6c84a40085c092070ce,0.0,True,0.19,"Other, Organic","Övrigt ursprung, Ekologisk","Annen opprinnelse, Økologisk","Anden oprindelse, Økologisk",Övrigt,-1.0,RISE-1.4,Lök gul fryst,Løk gul frosset,Onion yellow frozen,Løg gul frosne,5.0,Anden oprindelse,Annen opprinnelse,Other,Övrigt ursprung,0.19
1249,385.0,5b0083876fd2dcf4a031bbd5,5,Grönsaker. rotfrukter och svamp,136,Lök,732,Lök. gul,5b7bd6c84a40085c092070d0,2.0,False,0.44,"Switzerland, Conventional","Schweiz, Konventionell","Sveits, Konvensjonell","Schweiz, Konventionel",Schweiz,65.0,RISE-1.5,Lök gul fryst,Løk gul frosset,Onion yellow frozen,Løg gul frosne,5.0,Schweiz,Sveits,Switzerland,Schweiz,0.19
